Id;Sexe;Repro;Taille;Age;Cd;Cu;Hg;Organe
1;f;imm;315;3;29,6;3,24;NA;rein
2;f;imm;357;4;55,1;4,42;NA;rein
3;f;pnl;439;34;129,3;5,01;9,02;rein
4;f;imm;316;4;71,2;4,33;NA;rein
5;f;l;435;26;192;5,15;NA;rein
6;f;pnl;388;6;NA;4,12;4,53;rein
7;f;mat;410;NA;76;5,1;33,9;foie
8;m;imm;355;NA;74,4;4,72;13,3;foie
9;m;imm;222;NA;0,09;9,5;2,89;foie
10;m;imm;412;9;85,6;5,42;NA;rein
11;m;imm;310;4;39,8;3,62;NA;rein
12;f;pnl;452;28;193,9;6,34;8,7;rein
13;m;imm;299;3;25,8;5,1;7,4;foie
14;f;pl;432;14;77,3;8,75;128,8;foie
15;m;imm;392;4;36,7;5,1;13,7;foie
16;f;pnl;445;22;88,4;8,4;141,9;foie
17;f;imm;348;NA;49,8;6,3;32,4;foie
18;m;imm;210;NA;0,05;5,5;3,09;foie
19;f;pl;430;NA;57,9;7;14,1;foie
20;m;imm;264;NA;4,4;3,4;1,25;foie
21;f;pnl;433;23;155,9;8,51;NA;rein
22;f;imm;447;27;43,4;3,56;NA;rein
23;m;mat;548;21;57,9;3,21;NA;rein
24;m;imm;308;2;29,7;3,93;NA;rein
25;f;pnl;435;21;55,4;4,35;NA;rein
26;f;l;465;14;146,8;5,78;NA;rein
27;m;imm;334;1;1,55;3,35;NA;rein
28;f;l;434;22;55;3,53;NA;rein
29;f;pnl;387;6;90,1;4,17;NA;rein
30;f;repos;444;40;107,3;5,01;NA;rein
31;m;mat;581;18;164,3;5,69;NA;rein
32;f;imm;359;11;NA;3,97;NA;rein
33;f;imm;245;NA;0,07;5,8;1,3;foie
34;m;imm;346;4;34,4;2,65;21,6;foie
35;f;imm;370;NA;36,4;3,8;15,7;foie
36;f;l;432;27;80,1;3,96;NA;rein
37;m;imm;279;2;7,84;3,63;NA;rein
38;f;imm;316;3;34,2;3,21;NA;rein
39;m;imm;315;2;16,5;3,35;NA;rein
40;f;pnl;363;8;56,2;4;NA;rein
41;f;pnl;457;14;123,3;5,86;4,23;rein
42;m;imm;472;9;109,6;4,5;NA;rein
43;f;pl;442;16;193,1;5,25;6,38;rein
44;m;imm;422;10;75,1;6,9;53,15;foie
45;f;imm;193;1;NA;5,7;NA;rein
46;m;imm;324;4;31,6;4,5;7,9;foie
47;f;pnl;478;36;82,2;6,7;243,6;foie
48;f;pnl;451;NA;584,7;5,26;NA;rein
49;m;imm;245;NA;0,07;6;5,7;foie
50;f;pnl;405;NA;70;6,9;28,7;foie
51;m;imm;433;NA;55,2;7,5;52,5;foie
52;m;imm;326;NA;19,9;3,7;11;foie
53;f;pnl;440;22;84;9,1;207,4;foie
54;f;pnl;431;NA;90,3;4,64;NA;rein
55;f;pl;428;12;108,3;4,47;3,93;rein
56;f;imm;308;NA;50,8;5;27;foie
57;f;pnl;422;14;70,4;7,3;62,9;foie
58;f;pl;426;12;94,4;8;85;foie
59;f;imm;216;NA;0,01;4,2;3,53;foie
60;f;imm;314;NA;37,1;4,4;15,2;foie
61;f;pnl;394;9;78,5;6,2;55,2;foie
62;m;imm;400;5;89,1;4,83;NA;rein
63;f;pnl;416;NA;67,8;7,5;95,9;foie
64;f;imm;275;2;2,3;3;1,2;foie
65;m;imm;382;10;89,1;4,62;NA;rein
66;f;imm;320;6;NA;4,65;NA;rein
67;f;pl;418;12;89,1;4,26;5,44;rein
68;f;pnl;423;12;71,9;7,2;72,5;foie
69;f;l;407;11;64,4;5,1;39;foie
70;f;pl;459;22;76,2;10,7;178,2;foie
71;m;imm;215;NA;0,04;4,4;2,74;foie
72;m;imm;354;5;31,8;5,4;172,1;foie
73;m;imm;237;NA;0,07;7,1;1,29;foie
74;m;mat;513;18;44,3;5,8;49,8;foie
75;f;pl;431;15;80,8;9,4;145,2;foie
76;m;mat;519;15;71,3;4,41;NA;rein
77;f;pnl;386;8;918,8;7,38;NA;rein
78;f;imm;378;5;129,2;6,38;NA;rein
79;f;imm;342;4;89,4;4,68;NA;rein
80;m;mat;582;21;127,1;5,76;NA;rein
81;f;l;453;24;59,4;7,9;141,9;foie
82;f;imm;242;1;7,2;4,3;3,48;foie
83;f;imm;292;3;33,2;3,6;NA;rein
84;m;mat;545;25;89,3;2,67;NA;rein
85;f;imm;185;NA;0,01;5,5;2,58;foie
86;m;imm;340;NA;42;4,2;9,9;foie
87;m;imm;232;5;0,08;6,4;1,1;foie
88;m;mat;560;24;35,7;5,7;69,7;foie
89;m;imm;308;NA;38,2;4,4;11,5;foie
90;m;imm;227;NA;3,4;3,7;3,08;foie
91;f;pl;460;19;98,9;3,63;NA;rein
92;f;l;436;35;94;4,01;NA;rein
93;m;mat;582;27;82,2;3,39;NA;rein
